(31, 32)
(31, 31)
(31, 30)
(30, 30)
(29, 30)
(29, 31)
(28, 31)
(27, 31)
(26, 31)
(26, 30)
(26, 29)
(27, 29)
(28, 29)
(28, 28)
(28, 27)
(28, 26)
(28, 25)
(27, 25)
(26, 25)
(25, 25)
(24, 25)
(24, 26)
(24, 27)
(23, 27)
(23, 28)
(22, 28)
(22, 29)
(22, 30)
(22, 31)
(21, 31)
(20, 31)
(20, 30)
(20, 29)
(20, 28)
(20, 27)
(21, 27)
(21, 26)
(22, 26)
(22, 25)
(22, 24)
(21, 24)
(21, 23)
(20, 23)
(19, 23)
(18, 23)
(17, 23)
(17, 24)
(17, 25)
(17, 26)
(17, 27)
(18, 27)
(18, 28)
(18, 29)
(18, 30)
(17, 30)
(16, 30)
(15, 30)
(15, 31)
(14, 31)
(13, 31)
(12, 31)
(11, 31)
(10, 31)
(10, 30)
(10, 29)
(11, 29)
(12, 29)
(13, 29)
(13, 28)
(14, 28)
(14, 27)
(14, 26)
(15, 26)
(15, 25)
(15, 24)
(15, 23)
(14, 23)
(13, 23)
(13, 24)
(12, 24)
(11, 24)
(10, 24)
(10, 25)
(9, 25)
(8, 25)
(8, 24)
(8, 23)
(9, 23)
(9, 22)
(10, 22)
(11, 22)
(11, 21)
(11, 20)
(11, 19)
(10, 19)
(10, 18)
(10, 17)
(9, 17)
(9, 16)
(9, 15)
(10, 15)
(11, 15)
(11, 16)
(12, 16)
(12, 17)
(12, 18)
(13, 18)
(14, 18)
(15, 18)
(15, 19)
(15, 20)
(16, 20)
(16, 21)
(17, 21)
(18, 21)
(19, 21)
(20, 21)
(21, 21)
(22, 21)
(22, 22)
(23, 22)
(23, 23)
(24, 23)
(25, 23)
(25, 22)
(26, 22)
(26, 21)
(27, 21)
(27, 20)
(28, 20)
(29, 20)
(30, 20)
(30, 19)
(31, 19)
(31, 18)
(31, 17)
(30, 17)
(30, 16)
(30, 15)
(30, 14)
(30, 13)
(31, 13)
(31, 12)
(31, 11)
(31, 10)
(30, 10)
(30, 9)
(30, 8)
(31, 8)
(31, 7)
(31, 6)
(30, 6)
(29, 6)
(29, 7)
(28, 7)
(27, 7)
(27, 6)
(26, 6)
(26, 5)
(26, 4)
(25, 4)
(25, 3)
(24, 3)
(24, 2)
(23, 2)
(23, 1)
(22, 1)
(21, 1)
(20, 1)
(20, 2)
(19, 2)
(19, 3)
(18, 3)
(17, 3)
(16, 3)
(15, 3)
(15, 4)
(15, 5)
(14, 5)
(14, 6)
(14, 7)
(14, 8)
(14, 9)
(14, 10)
(13, 10)
(12, 10)
(12, 9)
(11, 9)
(11, 8)
(10, 8)
(9, 8)
(9, 9)
(9, 10)
(9, 11)
(9, 12)
(9, 13)
(8, 13)
(8, 14)
(7, 14)
(7, 15)
(7, 16)
(6, 16)
(5, 16)
(5, 15)
(4, 15)
(3, 15)
(3, 14)
(3, 13)
(4, 13)
(5, 13)
(6, 13)
(6, 12)
(7, 12)
(7, 11)
(7, 10)
(7, 9)
(6, 9)
(6, 8)
(6, 7)
(5, 7)
(5, 6)
(4, 6)
(3, 6)
(3, 7)
(2, 7)
(1, 7)
(1, 6)
(1, 5)
(1, 4)
(2, 4)
(2, 3)
(3, 3)
(3, 2)
(3, 1)
(4, 1)
(5, 1)
(6, 1)
